"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_license_str","license_license_str15","license_license_abbrev","license_license_nick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","x3pt_success","x3pt_tried","x3pt_percentage","x2pt_success","x2pt_tried","x2pt_percentage","x1pt_success","x1pt_tried","x1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified","abb"
2146502,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91340,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20209836,20209836,20209836,"Adam  Hanga ","Adam Hanga","A. Hanga","Hanga","202",FALSE,202,NA,1,"88",10,1458,2,6,33,2,2,100,0,0,0,5,1,6,2,2,3,0,0,1,0,2,2,12,1,1,-13,0,"JOV"
2146521,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91435,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30000514,30000514,21100451,"Jean Claudio Montero Berroa","Jean Montero","J. Montero","Montero","202",FALSE,202,NA,1,"8",16,1063,2,4,50,4,5,80,2,3,66,1,1,2,2,0,4,5,0,0,0,0,4,16,0,1,-3,0,"VBC"
2146516,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91336,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30000095,30000095,21100094,"Yannick Story Kraag ","Yannick Kraag","Y. Kraag","Kraag","202",FALSE,202,NA,1,"1",0,1063,0,1,0,0,1,0,0,0,0,3,2,5,2,1,0,0,0,1,0,3,0,2,0,0,-3,0,"JOV"
2146515,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91335,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20201871,20201871,20201871,"Ricard  Rubio Vives","Ricky Rubio","R. Rubio","Rubio","202",FALSE,202,NA,1,"9",13,1314,1,2,50,2,6,33,6,7,85,3,0,3,7,0,3,0,0,0,0,1,5,18,0,1,1,0,"JOV"
2146512,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91431,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30003991,30003991,21103510,"Omari Kamau Moore ","Omari Moore","O. Moore","Moore","202",FALSE,202,NA,1,"10",2,815,0,1,0,0,1,0,2,2,100,1,0,1,4,0,0,0,1,0,0,1,1,6,1,0,13,0,"VBC"
2146522,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91437,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30000032,30000032,21100034,"Matthew Tyler Costello ","Matt Costello","M. Costello","Costello","202",FALSE,202,NA,1,"24",5,1263,1,3,33,1,1,100,0,0,0,7,1,8,1,0,1,0,1,0,0,2,2,12,1,1,20,0,"VBC"
2146518,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91337,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20212073,20212073,20212073,"Miguel Malik Allen Montesdeoca","Miguel Allen","M. Allen","Allen","202",FALSE,202,NA,1,"21",7,624,0,1,0,3,3,100,1,1,100,0,0,0,0,2,0,2,0,0,1,5,1,4,0,0,0,0,"JOV"
2146513,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91425,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20211129,20211129,20211129,"Jaime  Pradilla Gayán","Jaime Pradilla","J. Pradilla","Pradilla","202",FALSE,202,NA,1,"4",12,1502,1,2,50,3,3,100,3,4,75,2,1,3,3,1,1,0,0,0,0,1,4,19,1,0,0,0,"VBC"
2146511,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91429,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30001981,30001981,21101650,"Kameron Milton Allante Taylor ","Kameron Taylor","K. Taylor","Taylor","202",FALSE,202,NA,1,"1",17,1157,3,3,100,3,5,60,2,2,100,2,0,2,1,1,0,5,1,0,0,0,2,22,1,0,16,0,"VBC"
2146509,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91432,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30003973,30003973,21103492,"Neal Omar Sako ","Neal Sako","N. Sako","Sako","202",FALSE,202,NA,1,"12",10,906,0,0,0,5,5,100,0,0,0,5,0,5,1,1,0,0,2,0,3,4,0,15,0,0,-2,0,"VBC"
2146523,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91426,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20211660,20211660,20211660,"Xabier  López-Arostegui Eskauriaza","Xabi López-Arostegui","López-Arostegui","López-A.","202",FALSE,202,NA,1,"6",6,598,0,2,0,0,0,0,6,6,100,1,1,2,1,1,0,0,0,0,0,1,3,10,0,1,6,0,"VBC"
2146506,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91338,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30003529,30003529,21103071,"Samuel Thomas Dekker ","Sam Dekker","S. Dekker","Dekker","202",FALSE,202,NA,1,"17",3,1081,1,4,25,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,-1,1,1,-11,0,"JOV"
2146514,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91333,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20204158,20204158,20204158,"Guillem  Vives Torrent","Guillem Vives","G. Vives","Vives","202",FALSE,202,NA,1,"16",3,773,1,1,100,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,4,1,0,-18,0,"JOV"
2146508,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91433,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30001900,30001900,21101582,"Darius Jamar Thompson ","Darius Thompson","D. Thompson","Thompson","202",FALSE,202,NA,1,"13",7,1227,1,3,33,2,2,100,0,0,0,1,2,3,3,1,0,2,0,0,0,2,1,11,0,1,0,0,"VBC"
2146505,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91339,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30003415,30003415,21102971,"Cameron Lee Hunt ","Cameron Hunt","C. Hunt","Hunt","202",FALSE,202,NA,1,"24",28,1737,7,10,70,3,5,60,1,1,100,0,1,1,2,0,2,3,0,0,0,3,1,22,1,1,-3,0,"JOV"
2146504,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91343,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",20212423,20212423,20212423,"Simon Fredrik Stefan Birgander ","Simon Birgander","S. Birgander","Birgander","202",FALSE,202,NA,1,"35",5,1128,0,0,0,2,4,50,1,2,50,1,1,2,2,0,0,0,0,1,0,4,1,2,1,0,-6,0,"JOV"
2146507,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,91436,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",30000107,30000107,21100103,"El Hadji Omar Brancou Badio ","Brancou Badio","B. Badio","Badio","202",FALSE,202,NA,1,"0",2,906,0,2,0,0,1,0,2,2,100,1,0,1,1,1,3,0,0,0,0,1,1,-1,0,0,0,0,"VBC"
2146525,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5887,104493,NA,NA,FALSE,4394,4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2668,"Joventut Badalona","Joventut","JOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"JOV"
